season,id,team,location,conference,conference_abb
2010,2193,East Tennessee State Bucs,East Tennessee State,ASUN Conference,a-sun
2010,526,Florida Gulf Coast Eagles,Florida Gulf Coast,ASUN Conference,a-sun
2010,2908,South Carolina Upstate Spartans,South Carolina Upstate,ASUN Conference,a-sun
2010,2382,Mercer Bears,Mercer,ASUN Conference,a-sun
2010,2097,Campbell Fighting Camels,Campbell,ASUN Conference,a-sun
2010,2057,Belmont Bruins,Belmont,ASUN Conference,a-sun
2010,338,Kennesaw State Owls,Kennesaw State,ASUN Conference,a-sun
2010,294,Jacksonville Dolphins,Jacksonville,ASUN Conference,a-sun
2010,2454,North Florida Ospreys,North Florida,ASUN Conference,a-sun
2010,56,Stetson Hatters,Stetson,ASUN Conference,a-sun
2010,288,Lipscomb Bisons,Lipscomb,ASUN Conference,a-sun
2010,42,Hartford Hawks,Hartford,America East Conference,aeast
2010,261,Vermont Catamounts,Vermont,America East Conference,aeast
2010,104,Boston University Terriers,Boston University,America East Conference,aeast
2010,2619,Stony Brook Seawolves,Stony Brook,America East Conference,aeast
2010,2066,Binghamton Bearcats,Binghamton,America East Conference,aeast
2010,2378,UMBC Retrievers,UMBC,America East Conference,aeast
2010,311,Maine Black Bears,Maine,America East Conference,aeast
2010,399,UAlbany Great Danes,UAlbany,America East Conference,aeast
2010,160,New Hampshire Wildcats,New Hampshire,America East Conference,aeast
2010,2752,Xavier Musketeers,Xavier,Atlantic 10 Conference,atl10
2010,218,Temple Owls,Temple,Atlantic 10 Conference,atl10
2010,2168,Dayton Flyers,Dayton,Atlantic 10 Conference,atl10
2010,2603,Saint Joseph's Hawks,Saint Joseph's,Atlantic 10 Conference,atl10
2010,2429,Charlotte 49ers,Charlotte,Atlantic 10 Conference,atl10
2010,2184,Duquesne Dukes,Duquesne,Atlantic 10 Conference,atl10
2010,179,St. Bonaventure Bonnies,St. Bonaventure,Atlantic 10 Conference,atl10
2010,257,Richmond Spiders,Richmond,Atlantic 10 Conference,atl10
2010,113,Massachusetts Minutewomen,Massachusetts,Atlantic 10 Conference,atl10
2010,139,Saint Louis Billikens,Saint Louis,Atlantic 10 Conference,atl10
2010,45,George Washington Revolutionaries,George Washington,Atlantic 10 Conference,atl10
2010,2325,La Salle Explorers,La Salle,Atlantic 10 Conference,atl10
2010,2230,Fordham Rams,Fordham,Atlantic 10 Conference,atl10
2010,227,Rhode Island Rams,Rhode Island,Atlantic 10 Conference,atl10
2010,52,Florida State Seminoles,Florida State,Atlantic Coast Conference,acc
2010,150,Duke Blue Devils,Duke,Atlantic Coast Conference,acc
2010,258,Virginia Cavaliers,Virginia,Atlantic Coast Conference,acc
2010,59,Georgia Tech Yellow Jackets,Georgia Tech,Atlantic Coast Conference,acc
2010,154,Wake Forest Demon Deacons,Wake Forest,Atlantic Coast Conference,acc
2010,152,NC State Wolfpack,NC State,Atlantic Coast Conference,acc
2010,103,Boston College Eagles,Boston College,Atlantic Coast Conference,acc
2010,153,North Carolina Tar Heels,North Carolina,Atlantic Coast Conference,acc
2010,120,Maryland Terrapins,Maryland,Atlantic Coast Conference,acc
2010,228,Clemson Tigers,Clemson,Atlantic Coast Conference,acc
2010,259,Virginia Tech Hokies,Virginia Tech,Atlantic Coast Conference,acc
2010,2390,Miami Hurricanes,Miami,Atlantic Coast Conference,acc
2010,158,Nebraska Cornhuskers,Nebraska,Big 12 Conference,big12
2010,201,Oklahoma Sooners,Oklahoma,Big 12 Conference,big12
2010,66,Iowa State Cyclones,Iowa State,Big 12 Conference,big12
2010,251,Texas Longhorns,Texas,Big 12 Conference,big12
2010,245,Texas A&M Aggies,Texas A&M,Big 12 Conference,big12
2010,197,Oklahoma State Cowgirls,Oklahoma State,Big 12 Conference,big12
2010,239,Baylor Bears,Baylor,Big 12 Conference,big12
2010,2306,Kansas State Wildcats,Kansas State,Big 12 Conference,big12
2010,2305,Kansas Jayhawks,Kansas,Big 12 Conference,big12
2010,2641,Texas Tech Lady Raiders,Texas Tech,Big 12 Conference,big12
2010,38,Colorado Buffaloes,Colorado,Big 12 Conference,big12
2010,142,Missouri Tigers,Missouri,Big 12 Conference,big12
2010,41,UConn Huskies,UConn,Big East Conference,bige
2010,46,Georgetown Hoyas,Georgetown,Big East Conference,bige
2010,277,West Virginia Mountaineers,West Virginia,Big East Conference,bige
2010,87,Notre Dame Fighting Irish,Notre Dame,Big East Conference,bige
2010,2599,St. John's Red Storm,St. John's,Big East Conference,bige
2010,164,Rutgers Scarlet Knights,Rutgers,Big East Conference,bige
2010,305,DePaul Blue Demons,DePaul,Big East Conference,bige
2010,183,Syracuse Orange,Syracuse,Big East Conference,bige
2010,2507,Providence Friars,Providence,Big East Conference,bige
2010,58,South Florida Bulls,South Florida,Big East Conference,bige
2010,269,Marquette Golden Eagles,Marquette,Big East Conference,bige
2010,97,Louisville Cardinals,Louisville,Big East Conference,bige
2010,221,Pittsburgh Panthers,Pittsburgh,Big East Conference,bige
2010,2132,Cincinnati Bearcats,Cincinnati,Big East Conference,bige
2010,222,Villanova Wildcats,Villanova,Big East Conference,bige
2010,2550,Seton Hall Pirates,Seton Hall,Big East Conference,bige
2010,331,Eastern Washington Eagles,Eastern Washington,Big Sky Conference,bsky
2010,304,Idaho State Bengals,Idaho State,Big Sky Conference,bsky
2010,16,Sacramento State Hornets,Sacramento State,Big Sky Conference,bsky
2010,149,Montana Lady Griz,Montana,Big Sky Conference,bsky
2010,2502,Portland State Vikings,Portland State,Big Sky Conference,bsky
2010,147,Montana State Bobcats,Montana State,Big Sky Conference,bsky
2010,2458,Northern Colorado Bears,Northern Colorado,Big Sky Conference,bsky
2010,2464,Northern Arizona Lumberjacks,Northern Arizona,Big Sky Conference,bsky
2010,2692,Weber State Wildcats,Weber State,Big Sky Conference,bsky
2010,2241,Gardner-Webb Runnin' Bulldogs,Gardner-Webb,Big South Conference,bsou
2010,2335,Liberty Flames,Liberty,Big South Conference,bsou
2010,2272,High Point Panthers,High Point,Big South Conference,bsou
2010,2127,Charleston Southern Buccaneers,Charleston Southern,Big South Conference,bsou
2010,2737,Winthrop Eagles,Winthrop,Big South Conference,bsou
2010,324,Coastal Carolina Chanticleers,Coastal Carolina,Big South Conference,bsou
2010,2515,Radford Highlanders,Radford,Big South Conference,bsou
2010,2506,Presbyterian Blue Hose,Presbyterian,Big South Conference,bsou
2010,2427,UNC Asheville Bulldogs,UNC Asheville,Big South Conference,bsou
2010,194,Ohio State Buckeyes,Ohio State,Big Ten Conference,big10
2010,127,Michigan State Spartans,Michigan State,Big Ten Conference,big10
2010,2294,Iowa Hawkeyes,Iowa,Big Ten Conference,big10
2010,275,Wisconsin Badgers,Wisconsin,Big Ten Conference,big10
2010,2509,Purdue Boilermakers,Purdue,Big Ten Conference,big10
2010,213,Penn State Lady Lions,Penn State,Big Ten Conference,big10
2010,130,Michigan Wolverines,Michigan,Big Ten Conference,big10
2010,84,Indiana Hoosiers,Indiana,Big Ten Conference,big10
2010,77,Northwestern Wildcats,Northwestern,Big Ten Conference,big10
2010,356,Illinois Fighting Illini,Illinois,Big Ten Conference,big10
2010,135,Minnesota Golden Gophers,Minnesota,Big Ten Conference,big10
2010,302,UC Davis Aggies,UC Davis,Big West Conference,bigw
2010,27,UC Riverside Highlanders,UC Riverside,Big West Conference,bigw
2010,13,Cal Poly Mustangs,Cal Poly,Big West Conference,bigw
2010,299,Long Beach State Beach,Long Beach State,Big West Conference,bigw
2010,2540,UC Santa Barbara Gauchos,UC Santa Barbara,Big West Conference,bigw
2010,2239,Cal State Fullerton Titans,Cal State Fullerton,Big West Conference,bigw
2010,300,UC Irvine Anteaters,UC Irvine,Big West Conference,bigw
2010,279,Pacific Tigers,Pacific,Big West Conference,bigw
2010,2463,Cal State Northridge Matadors,Cal State Northridge,Big West Conference,bigw
2010,295,Old Dominion Monarchs,Old Dominion,Coastal Athletic Association,col
2010,256,James Madison Dukes,James Madison,Coastal Athletic Association,col
2010,2670,VCU Rams,VCU,Coastal Athletic Association,col
2010,2182,Drexel Dragons,Drexel,Coastal Athletic Association,col
2010,2275,Hofstra Pride,Hofstra,Coastal Athletic Association,col
2010,48,Delaware Blue Hens,Delaware,Coastal Athletic Association,col
2010,119,Towson Tigers,Towson,Coastal Athletic Association,col
2010,111,Northeastern Huskies,Northeastern,Coastal Athletic Association,col
2010,350,UNC Wilmington Seahawks,UNC Wilmington,Coastal Athletic Association,col
2010,2247,Georgia State Panthers,Georgia State,Coastal Athletic Association,col
2010,2729,William & Mary Tribe,William & Mary,Coastal Athletic Association,col
2010,2244,George Mason Patriots,George Mason,Coastal Athletic Association,col
2010,2655,Tulane Green Wave,Tulane,Conference USA,usa
2010,235,Memphis Tigers,Memphis,Conference USA,usa
2010,2567,SMU Mustangs,SMU,Conference USA,usa
